2026-09-13 18:40:55;baseline;1415,1053,973,976,985;985
2026-09-13 18:47:02;diet;1097,1067,1118,1060,1052;1067
2026-09-13 18:51:17;baselineAB;1161,1089,1071;1089
2026-09-13 18:54:26;dietAB;1220,1136,1148;1148
2026-09-13 18:58:22;noImage;1133,1110,1631;1133
2026-09-13 19:02:20;A1;1271,1353,1324;1324
2026-09-13 19:05:23;B1;1298,1388,1317;1317
2026-09-13 19:08:26;A2;1326,1339,1336;1336
2026-09-13 19:11:29;B2;1299,1338,1242;1299
2026-09-13 19:43:34;DRon;1091,1079,1026;1079
2026-09-13 19:47:14;DRoff;1233,1047,1055;1055
